Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",126.500000,-56.500000,-90.000000,top
"C2","100nF","C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",142.500000,-64.250000,90.000000,top
"D1","D","D_A-405_P10.16mm_Horizontal",130.000000,-87.920000,-90.000000,top
"D2","D","D_A-405_P10.16mm_Horizontal",130.000000,-68.500000,-90.000000,top
"DHT1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",154.500000,-95.975000,0.000000,top
"J2","Barrel_Jack","BarrelJack_Kycon_KLDX-0202-xC_Horizontal",131.500000,-53.750000,-90.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal",149.750000,-58.000000,-90.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal",140.000000,-49.000000,0.000000,top
"K1","SANYOU_SRD_Form_C","Relay_SPDT_SANYOU_SRD_Series_Form_C",150.500000,-94.500000,180.000000,top
"K2","SANYOU_SRD_Form_C","Relay_SPDT_SANYOU_SRD_Series_Form_C",150.500000,-75.500000,180.000000,top
"LDR1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",154.500000,-107.420000,0.000000,top
"LED1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",148.275000,-123.000000,-90.000000,top
"LED2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",154.500000,-118.960000,0.000000,top
"LEVEL1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",142.025000,-123.000000,-90.000000,top
"MOIST1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",132.525000,-123.000000,-90.000000,top
"MOTOR1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",154.500000,-46.500000,0.000000,top
"MOTOR2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",150.250000,-46.475000,0.000000,top
"Q1","BC547","TO-92_Inline",129.270000,-101.640000,180.000000,top
"Q2","BC547","TO-92_Inline",128.770000,-82.640000,180.000000,top
"R1","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",126.000000,-98.080000,90.000000,top
"R2","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",125.500000,-78.500000,90.000000,top
"RGB1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",154.500000,-82.700000,0.000000,top
"U1","L7805","TO-252-2",134.840000,-60.002500,0.000000,top
"U5","NUCLEO-F410RB","ST_NUCLEO-F410RB",87.950000,-85.490000,0.000000,top
"ULTRA1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",154.500000,-69.200000,0.000000,top
